id	name
dre01100	Metabolic pathways - Danio rerio (zebrafish)
dre01200	Carbon metabolism - Danio rerio (zebrafish)
dre01210	2-Oxocarboxylic acid metabolism - Danio rerio (zebrafish)
dre01212	Fatty acid metabolism - Danio rerio (zebrafish)
dre01230	Biosynthesis of amino acids - Danio rerio (zebrafish)
dre01232	Nucleotide metabolism - Danio rerio (zebrafish)
dre01250	Biosynthesis of nucleotide sugars - Danio rerio (zebrafish)
dre01240	Biosynthesis of cofactors - Danio rerio (zebrafish)
dre00010	Glycolysis / Gluconeogenesis - Danio rerio (zebrafish)
dre00020	Citrate cycle (TCA cycle) - Danio rerio (zebrafish)
dre00030	Pentose phosphate pathway - Danio rerio (zebrafish)
dre00040	Pentose and glucuronate interconversions - Danio rerio (zebrafish)
dre00051	Fructose and mannose metabolism - Danio rerio (zebrafish)
dre00052	Galactose metabolism - Danio rerio (zebrafish)
dre00053	Ascorbate and aldarate metabolism - Danio rerio (zebrafish)
dre00500	Starch and sucrose metabolism - Danio rerio (zebrafish)
dre00520	Amino sugar and nucleotide sugar metabolism - Danio rerio (zebrafish)
dre00620	Pyruvate metabolism - Danio rerio (zebrafish)
dre00630	Glyoxylate and dicarboxylate metabolism - Danio rerio (zebrafish)
dre00640	Propanoate metabolism - Danio rerio (zebrafish)
dre00650	Butanoate metabolism - Danio rerio (zebrafish)
dre00562	Inositol phosphate metabolism - Danio rerio (zebrafish)
dre00190	Oxidative phosphorylation - Danio rerio (zebrafish)
dre00910	Nitrogen metabolism - Danio rerio (zebrafish)
dre00920	Sulfur metabolism - Danio rerio (zebrafish)
dre00061	Fatty acid biosynthesis - Danio rerio (zebrafish)
dre00062	Fatty acid elongation - Danio rerio (zebrafish)
dre00071	Fatty acid degradation - Danio rerio (zebrafish)
dre00100	Steroid biosynthesis - Danio rerio (zebrafish)
dre00120	Primary bile acid biosynthesis - Danio rerio (zebrafish)
dre00140	Steroid hormone biosynthesis - Danio rerio (zebrafish)
dre00561	Glycerolipid metabolism - Danio rerio (zebrafish)
dre00564	Glycerophospholipid metabolism - Danio rerio (zebrafish)
dre00565	Ether lipid metabolism - Danio rerio (zebrafish)
dre00600	Sphingolipid metabolism - Danio rerio (zebrafish)
dre00590	Arachidonic acid metabolism - Danio rerio (zebrafish)
dre00591	Linoleic acid metabolism - Danio rerio (zebrafish)
dre00592	alpha-Linolenic acid metabolism - Danio rerio (zebrafish)
dre01040	Biosynthesis of unsaturated fatty acids - Danio rerio (zebrafish)
dre00230	Purine metabolism - Danio rerio (zebrafish)
dre00240	Pyrimidine metabolism - Danio rerio (zebrafish)
dre00250	Alanine, aspartate and glutamate metabolism - Danio rerio (zebrafish)
dre00260	Glycine, serine and threonine metabolism - Danio rerio (zebrafish)
dre00270	Cysteine and methionine metabolism - Danio rerio (zebrafish)
dre00280	Valine, leucine and isoleucine degradation - Danio rerio (zebrafish)
dre00290	Valine, leucine and isoleucine biosynthesis - Danio rerio (zebrafish)
dre00310	Lysine degradation - Danio rerio (zebrafish)
dre00220	Arginine biosynthesis - Danio rerio (zebrafish)
dre00330	Arginine and proline metabolism - Danio rerio (zebrafish)
dre00340	Histidine metabolism - Danio rerio (zebrafish)
dre00350	Tyrosine metabolism - Danio rerio (zebrafish)
dre00360	Phenylalanine metabolism - Danio rerio (zebrafish)
dre00380	Tryptophan metabolism - Danio rerio (zebrafish)
dre00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Danio rerio (zebrafish)
dre00410	beta-Alanine metabolism - Danio rerio (zebrafish)
dre00430	Taurine and hypotaurine metabolism - Danio rerio (zebrafish)
dre00440	Phosphonate and phosphinate metabolism - Danio rerio (zebrafish)
dre00450	Selenocompound metabolism - Danio rerio (zebrafish)
dre00470	D-Amino acid metabolism - Danio rerio (zebrafish)
dre00480	Glutathione metabolism - Danio rerio (zebrafish)
dre00510	N-Glycan biosynthesis - Danio rerio (zebrafish)
dre00513	Various types of N-glycan biosynthesis - Danio rerio (zebrafish)
dre00512	Mucin type O-glycan biosynthesis - Danio rerio (zebrafish)
dre00515	Mannose type O-glycan biosynthesis - Danio rerio (zebrafish)
dre00514	Other types of O-glycan biosynthesis - Danio rerio (zebrafish)
dre00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Danio rerio (zebrafish)
dre00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Danio rerio (zebrafish)
dre00533	Glycosaminoglycan biosynthesis - keratan sulfate - Danio rerio (zebrafish)
dre00531	Glycosaminoglycan degradation - Danio rerio (zebrafish)
dre00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Danio rerio (zebrafish)
dre00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Danio rerio (zebrafish)
dre00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Danio rerio (zebrafish)
dre00604	Glycosphingolipid biosynthesis - ganglio series - Danio rerio (zebrafish)
dre00511	Other glycan degradation - Danio rerio (zebrafish)
dre00730	Thiamine metabolism - Danio rerio (zebrafish)
dre00740	Riboflavin metabolism - Danio rerio (zebrafish)
dre00750	Vitamin B6 metabolism - Danio rerio (zebrafish)
dre00760	Nicotinate and nicotinamide metabolism - Danio rerio (zebrafish)
dre00770	Pantothenate and CoA biosynthesis - Danio rerio (zebrafish)
dre00780	Biotin metabolism - Danio rerio (zebrafish)
dre00785	Lipoic acid metabolism - Danio rerio (zebrafish)
dre00790	Folate biosynthesis - Danio rerio (zebrafish)
dre00670	One carbon pool by folate - Danio rerio (zebrafish)
dre00830	Retinol metabolism - Danio rerio (zebrafish)
