Human NCBI Gene ID	Disease ID
25	H00001
4297	H00001
4299	H00001
6929	H00001
5087	H00001
861	H00001
4609	H00001
64109	H00001
5079	H00001
4851	H00002
6886	H00002
6887	H00002
4066	H00002
4297	H00002
3195	H00002
4609	H00002
4005	H00002
30012	H00002
8028	H00002
5371	H00003
861	H00003
7704	H00003
2322	H00003
3815	H00003
4893	H00003
3845	H00003
1050	H00003
865	H00003
26511	H00003
1788	H00003
2120	H00003
2624	H00003
3717	H00003
4026	H00003
8028	H00003
4869	H00003
8021	H00003
8301	H00003
6455	H00003
7015	H00003
613	H00004
25	H00004
2122	H00004
861	H00004
1029	H00004
7157	H00004
5925	H00004
596	H00005
7157	H00005
472	H00005
355	H00005
7157	H00006
604	H00006
595	H00006
4792	H00007
4794	H00007
5966	H00007
355	H00007
200942	H00007
4609	H00008
7157	H00008
1029	H00008
7157	H00009
1029	H00009
355	H00009
595	H00010
896	H00010
2261	H00010
7468	H00010
4094	H00010
4893	H00010
3845	H00010
4609	H00010
7157	H00010
5079	H00011
