NCBI Gene ID	Disease ID
100000720	H00001
100000720	H00004
557048	H00001
557048	H00002
100537394	H00001
664768	H00001
30310	H00001
58138	H00001
570960	H00001
58126	H00001
58126	H00003
58126	H00004
393141	H00001
30686	H00001
393141	H00002
30686	H00002
393141	H00008
30686	H00008
393141	H00010
30686	H00010
100294510	H00001
60636	H00001
60636	H00011
30718	H00002
794892	H00002
30766	H00002
394239	H00002
100333113	H00002
266964	H00002
30332	H00002
266965	H00002
492342	H00002
492342	H00003
323269	H00003
569773	H00003
566708	H00003
497629	H00003
30256	H00003
30380	H00003
30380	H00010
445289	H00003
445289	H00010
140815	H00003
30744	H00003
394095	H00003
553189	H00003
553187	H00003
114444	H00003
436962	H00003
30480	H00003
30298	H00003
30307	H00003
573024	H00003
266985	H00003
553507	H00003
100529857	H00003
445286	H00003
393901	H00003
100005753	H00003
378838	H00003
796551	H00003
568320	H00004
497407	H00004
100329528	H00004
100329528	H00008
100329528	H00009
30590	H00004
30590	H00005
30590	H00006
30590	H00008
30590	H00009
30590	H00010
777733	H00004
570772	H00005
100007048	H00005
403064	H00005
768248	H00005
768248	H00007
768248	H00009
100001936	H00006
393707	H00006
30222	H00006
30222	H00010
323099	H00007
406463	H00007
790944	H00007
415101	H00007
799189	H00007
449996	H00010
58129	H00010
100000709	H00010
114467	H00010
100537332	H00010
