	Disease ID
0	H00082
1	H00101
2	H00110
3	H00111
4	H00112
5	H00113
6	H00217
7	H00277
8	H00278
9	H00279
10	H00280
11	H00283
12	H00284
13	H00295
14	H00297
15	H00298
16	H00299
17	H00300
18	H00301
19	H00302
20	H00303
21	H00304
22	H00305
23	H00306
24	H00307
25	H00308
26	H00309
27	H00310
28	H00312
29	H00313
30	H00314
31	H00315
32	H00316
33	H00319
34	H00320
35	H00321
36	H00322
37	H00323
38	H00324
39	H00325
40	H00326
41	H00327
42	H00328
43	H00329
44	H00330
45	H00331
46	H00332
47	H00333
48	H00334
49	H00335
50	H00336
51	H00337
52	H00338
53	H00339
54	H00340
55	H00341
56	H00343
57	H00345
58	H00346
59	H00347
60	H00348
61	H00349
62	H00350
63	H00351
64	H00352
65	H00353
66	H00354
67	H00355
68	H00356
69	H00357
70	H00358
71	H00359
72	H00360
73	H00362
74	H00363
75	H00364
76	H00365
77	H00366
78	H00367
79	H00368
80	H00369
81	H00370
82	H00371
83	H00372
84	H00373
85	H00374
86	H00376
87	H00377
88	H00378
89	H00379
90	H00380
91	H00381
92	H00382
93	H00383
94	H00384
95	H00385
96	H00386
97	H00387
98	H00388
99	H00389
100	H00390
101	H00391
102	H00393
103	H00394
104	H00395
105	H00396
106	H00397
107	H00398
108	H00399
109	H00400
110	H00401
111	H00402
112	H00404
113	H00405
114	H00406
115	H00411
116	H00414
117	H00415
118	H00416
119	H00427
120	H00435
121	H00552
122	H00812
123	H00885
124	H00975
125	H00994
126	H01014
127	H01021
128	H01041
129	H01042
130	H01043
131	H01044
132	H01045
133	H01046
134	H01047
135	H01048
136	H01049
137	H01050
138	H01051
139	H01052
140	H01054
141	H01055
142	H01056
143	H01057
144	H01058
145	H01059
146	H01060
147	H01061
148	H01062
149	H01063
150	H01064
151	H01066
152	H01067
153	H01068
154	H01069
155	H01070
156	H01072
157	H01073
158	H01074
159	H01077
160	H01080
161	H01081
162	H01083
163	H01084
164	H01085
165	H01086
166	H01087
167	H01089
168	H01090
169	H01091
170	H01092
171	H01093
172	H01098
173	H01099
174	H01100
175	H01104
176	H01137
177	H01138
178	H01139
179	H01140
180	H01141
181	H01142
182	H01144
183	H01147
184	H01148
185	H01150
186	H01151
187	H01152
188	H01153
189	H01157
190	H01164
191	H01165
192	H01166
193	H01169
194	H01175
195	H01176
196	H01178
197	H01179
198	H01311
199	H01312
200	H01313
201	H01314
202	H01315
203	H01316
204	H01317
205	H01318
206	H01319
207	H01320
208	H01321
209	H01322
210	H01323
211	H01324
212	H01325
213	H01326
214	H01327
215	H01329
216	H01330
217	H01331
218	H01332
219	H01333
220	H01334
221	H01335
222	H01336
223	H01337
224	H01339
225	H01343
226	H01345
227	H01350
228	H01353
229	H01357
230	H01359
231	H01361
232	H01366
233	H01373
234	H01374
235	H01379
236	H01380
237	H01397
238	H01399
239	H01401
240	H01405
241	H01406
242	H01407
243	H01408
244	H01409
245	H01410
246	H01411
247	H01414
248	H01415
249	H01416
250	H01417
251	H01418
252	H01419
253	H01420
254	H01421
255	H01422
256	H01423
257	H01424
258	H01425
259	H01426
260	H01427
261	H01429
262	H01430
263	H01440
264	H01441
265	H01442
266	H01443
267	H01444
268	H01445
269	H01446
270	H01447
271	H01448
272	H01449
273	H01451
274	H01452
275	H01453
276	H01454
277	H01455
278	H01458
279	H01461
280	H01462
281	H01465
282	H01467
283	H01468
284	H01469
285	H01472
286	H01473
287	H01474
288	H01475
289	H01476
290	H01480
291	H01491
292	H01492
293	H01495
294	H01499
295	H01500
296	H01501
297	H01502
298	H01503
299	H01505
300	H01506
301	H01515
302	H01516
303	H01517
304	H01518
305	H01519
306	H01520
307	H01521
308	H01527
309	H01528
310	H01530
311	H01531
312	H01533
313	H01534
314	H01535
315	H01536
316	H01537
317	H01538
318	H01539
319	H01540
320	H01541
321	H01542
322	H01543
323	H01544
324	H01545
325	H01546
326	H01547
327	H01549
328	H01550
329	H01551
330	H01552
331	H01553
332	H01560
333	H01561
334	H01562
335	H01564
336	H01566
337	H01578
338	H01580
339	H01581
340	H01582
341	H01584
342	H01585
343	H01586
344	H01587
345	H01588
346	H01594
347	H01595
348	H01596
349	H01597
350	H01602
351	H01604
352	H01606
353	H01607
354	H01608
355	H01609
356	H01610
357	H01616
358	H01617
359	H01620
360	H01622
361	H01624
362	H01625
363	H01626
364	H01628
365	H01629
366	H01632
367	H01634
368	H01636
369	H01638
370	H01639
371	H01641
372	H01642
373	H01643
374	H01644
375	H01645
376	H01647
377	H01648
