Pathway ID	Pathway Description
dreM01100	Metabolic pathways
dreM01200	Carbon metabolism
dreM01210	2-Oxocarboxylic acid metabolism
dreM01212	Fatty acid metabolism
dreM01230	Biosynthesis of amino acids
dreM01232	Nucleotide metabolism
dreM01250	Biosynthesis of nucleotide sugars
dreM01240	Biosynthesis of cofactors
dreM00010	Glycolysis / Gluconeogenesis
dreM00020	Citrate cycle (TCA cycle)
dreM00030	Pentose phosphate pathway
dreM00040	Pentose and glucuronate interconversions
dreM00051	Fructose and mannose metabolism
dreM00052	Galactose metabolism
dreM00053	Ascorbate and aldarate metabolism
dreM00500	Starch and sucrose metabolism
dreM00520	Amino sugar and nucleotide sugar metabolism
dreM00620	Pyruvate metabolism
dreM00630	Glyoxylate and dicarboxylate metabolism
dreM00640	Propanoate metabolism
dreM00650	Butanoate metabolism
dreM00562	Inositol phosphate metabolism
dreM00190	Oxidative phosphorylation
dreM00910	Nitrogen metabolism
dreM00920	Sulfur metabolism
dreM00061	Fatty acid biosynthesis
dreM00062	Fatty acid elongation
dreM00071	Fatty acid degradation
dreM00100	Steroid biosynthesis
dreM00120	Primary bile acid biosynthesis
dreM00140	Steroid hormone biosynthesis
dreM00561	Glycerolipid metabolism
dreM00564	Glycerophospholipid metabolism
dreM00565	Ether lipid metabolism
dreM00600	Sphingolipid metabolism
dreM00590	Arachidonic acid metabolism
dreM00591	Linoleic acid metabolism
dreM00592	alpha-Linolenic acid metabolism
dreM01040	Biosynthesis of unsaturated fatty acids
dreM00230	Purine metabolism
dreM00240	Pyrimidine metabolism
dreM00250	Alanine, aspartate and glutamate metabolism
dreM00260	Glycine, serine and threonine metabolism
dreM00270	Cysteine and methionine metabolism
dreM00280	Valine, leucine and isoleucine degradation
dreM00290	Valine, leucine and isoleucine biosynthesis
dreM00310	Lysine degradation
dreM00220	Arginine biosynthesis
dreM00330	Arginine and proline metabolism
dreM00340	Histidine metabolism
dreM00350	Tyrosine metabolism
dreM00360	Phenylalanine metabolism
dreM00380	Tryptophan metabolism
dreM00400	Phenylalanine, tyrosine and tryptophan biosynthesis
dreM00410	beta-Alanine metabolism
dreM00430	Taurine and hypotaurine metabolism
dreM00440	Phosphonate and phosphinate metabolism
dreM00450	Selenocompound metabolism
dreM00470	D-Amino acid metabolism
dreM00480	Glutathione metabolism
dreM00510	N-Glycan biosynthesis
dreM00513	Various types of N-glycan biosynthesis
dreM00512	Mucin type O-glycan biosynthesis
dreM00515	Mannose type O-glycan biosynthesis
dreM00514	Other types of O-glycan biosynthesis
dreM00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
dreM00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
dreM00533	Glycosaminoglycan biosynthesis - keratan sulfate
dreM00531	Glycosaminoglycan degradation
dreM00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
dreM00601	Glycosphingolipid biosynthesis - lacto and neolacto series
dreM00603	Glycosphingolipid biosynthesis - globo and isoglobo series
dreM00604	Glycosphingolipid biosynthesis - ganglio series
dreM00511	Other glycan degradation
dreM00730	Thiamine metabolism
dreM00740	Riboflavin metabolism
dreM00750	Vitamin B6 metabolism
dreM00760	Nicotinate and nicotinamide metabolism
dreM00770	Pantothenate and CoA biosynthesis
dreM00780	Biotin metabolism
dreM00785	Lipoic acid metabolism
dreM00790	Folate biosynthesis
dreM00670	One carbon pool by folate
dreM00830	Retinol metabolism
dreM00860	Porphyrin metabolism
dreM00130	Ubiquinone and other terpenoid-quinone biosynthesis
dreM00900	Terpenoid backbone biosynthesis
dreM00232	Caffeine metabolism
dreM00524	Neomycin, kanamycin and gentamicin biosynthesis
dreM00980	Metabolism of xenobiotics by cytochrome P450
dreM00982	Drug metabolism - cytochrome P450
dreM00983	Drug metabolism - other enzymes
dreM03020	RNA polymerase
dreM03022	Basal transcription factors
dreM03040	Spliceosome
dreM03010	Ribosome
dreM00970	Aminoacyl-tRNA biosynthesis
dreM03013	Nucleocytoplasmic transport
dreM03015	mRNA surveillance pathway
dreM03008	Ribosome biogenesis in eukaryotes
dreM03060	Protein export
dreM04141	Protein processing in endoplasmic reticulum
dreM04130	SNARE interactions in vesicular transport
dreM04120	Ubiquitin mediated proteolysis
dreM04122	Sulfur relay system
dreM03050	Proteasome
dreM03018	RNA degradation
dreM03030	DNA replication
dreM03410	Base excision repair
dreM03420	Nucleotide excision repair
dreM03430	Mismatch repair
dreM03440	Homologous recombination
dreM03450	Non-homologous end-joining
dreM03460	Fanconi anemia pathway
dreM03082	ATP-dependent chromatin remodeling
dreM03083	Polycomb repressive complex
