ZFIN ID	SO ID	Symbol	NCBI Gene ID	
ZDB-BR-071004-117	SO:0001411	br.line.zfl2-1	100126124
ZDB-GENE-000112-47	SO:0001217	ppardb	30754
ZDB-GENE-000125-12	SO:0001217	igfbp2a	794176
ZDB-GENE-000125-4	SO:0001217	dlc	30120
ZDB-GENE-000128-11	SO:0001217	dbx1b	30416
ZDB-GENE-000128-13	SO:0001217	dbx2	30417
ZDB-GENE-000128-8	SO:0001217	dbx1a	30394
ZDB-GENE-000201-13	SO:0001217	anos1b	30652
ZDB-GENE-000201-18	SO:0001217	pbx4	30728
ZDB-GENE-000201-9	SO:0001217	anos1a	30630
ZDB-GENE-000208-13	SO:0001217	crestin	30186
ZDB-GENE-000208-17	SO:0001217	calr3a	30248
ZDB-GENE-000208-18	SO:0001217	urod	30617
ZDB-GENE-000208-20	SO:0001217	mixl1	30115
ZDB-GENE-000208-21	SO:0001217	kifc1	30453
ZDB-GENE-000208-23	SO:0001217	col11a2	561679
ZDB-GENE-000208-25	SO:0001217	bmp7a	30584
ZDB-GENE-000208-28	SO:0001217	ccl27a	30268
ZDB-GENE-000208-4	SO:0001217	zic1	30096
ZDB-GENE-000208-8	SO:0001217	copg2	30187
ZDB-GENE-000208-9	SO:0001217	cmn	30208
ZDB-GENE-000209-3	SO:0001217	robo1	30769
ZDB-GENE-000209-4	SO:0001217	robo3	30770
ZDB-GENE-000210-10	SO:0001217	tpst1	30677
ZDB-GENE-000210-13	SO:0001217	nccrp1	30078
ZDB-GENE-000210-15	SO:0001217	btg2	30079
ZDB-GENE-000210-17	SO:0001217	elavl1b	30065
ZDB-GENE-000210-19	SO:0001217	rbp4	30077
ZDB-GENE-000210-20	SO:0001217	cat	30068
ZDB-GENE-000210-21	SO:0001217	inhbaa	30072
ZDB-GENE-000210-23	SO:0001217	meis2b	30066
ZDB-GENE-000210-25	SO:0001217	khdrbs1a	30082
ZDB-GENE-000210-28	SO:0001217	chico	30067
ZDB-GENE-000210-31	SO:0001217	vdra	30076
ZDB-GENE-000210-32	SO:0001217	nme2b.1	30083
ZDB-GENE-000210-33	SO:0001217	nme2b.2	30084
ZDB-GENE-000210-34	SO:0001217	nme3	30085
ZDB-GENE-000210-35	SO:0001217	nme7	30086
ZDB-GENE-000210-6	SO:0001217	twist1a	30175
ZDB-GENE-000210-7	SO:0001217	twist3	30176
ZDB-GENE-000210-8	SO:0001217	pcna	30678
ZDB-GENE-000223-14	SO:0001217	phox2a	404602
ZDB-GENE-000308-1	SO:0001217	igf2bp3	30967
ZDB-GENE-000322-1	SO:0001217	actc1b	58114
ZDB-GENE-000322-2	SO:0001217	tnnc2.2	58082
ZDB-GENE-000322-3	SO:0001217	tnnt3a	58084
ZDB-GENE-000322-4	SO:0001217	pvalb2	58028
ZDB-GENE-000322-5	SO:0001217	myhz1.1	58142
ZDB-GENE-000322-6	SO:0001217	mylz3	58143
ZDB-GENE-000323-1	SO:0001217	tbr1b	58042
ZDB-GENE-000328-2	SO:0001217	hoxb10a	58056
ZDB-GENE-000328-3	SO:0001217	fzd8a	58073
ZDB-GENE-000328-4	SO:0001217	fzd8b	58072
ZDB-GENE-000328-5	SO:0001217	hoxc9a	58043
ZDB-GENE-000329-1	SO:0001217	actb1	57934
ZDB-GENE-000329-10	SO:0001217	or42c2	58103
ZDB-GENE-000329-12	SO:0001217	or30bt4	58121
ZDB-GENE-000329-13	SO:0001217	or30bt1	58111
ZDB-GENE-000329-14	SO:0001217	or42c1	58115
ZDB-GENE-000329-15	SO:0001217	or42c4	58104
ZDB-GENE-000329-16	SO:0001217	or42e1	58116
ZDB-GENE-000329-17	SO:0001217	hoxc12b	58062
ZDB-GENE-000329-2	SO:0001217	hoxb7a	58044
ZDB-GENE-000329-3	SO:0001217	actb2	57935
ZDB-GENE-000329-4	SO:0001217	notch2	58065
ZDB-GENE-000329-5	SO:0001217	notch3	58066
ZDB-GENE-000329-9	SO:0001217	actn3a	58037
ZDB-GENE-000330-2	SO:0001217	trpc4apb	58089
ZDB-GENE-000330-3	SO:0001217	trpc4apa	58090
ZDB-GENE-000330-4	SO:0001217	stx1b	58038
ZDB-GENE-000330-5	SO:0001217	cdc25b	57925
ZDB-GENE-000330-7	SO:0001217	blcap	57918
ZDB-GENE-000330-8	SO:0001217	coil	58024
ZDB-GENE-000330-9	SO:0001217	psen2	58026
ZDB-GENE-000403-1	SO:0001217	axin1	57931
ZDB-GENE-000403-2	SO:0001217	axin2	58080
ZDB-GENE-000405-1	SO:0001217	pbx1a	58138
ZDB-GENE-000405-3	SO:0001217	pbx3b	58140
ZDB-GENE-000405-5	SO:0001217	pbx2	58136
ZDB-GENE-000405-6	SO:0001217	dazl	58039
ZDB-GENE-000406-10	SO:0001217	ccnb1	58025
ZDB-GENE-000406-3	SO:0001217	plrdgb	58096
ZDB-GENE-000406-5	SO:0001217	copz2	57969
ZDB-GENE-000406-6	SO:0001217	copz1	57970
ZDB-GENE-000406-8	SO:0001217	mespaa	58069
ZDB-GENE-000406-9	SO:0001217	mespba	58070
ZDB-GENE-000411-1	SO:0001217	wnt4b	791993
ZDB-GENE-000412-1	SO:0001217	bdnf	58118
ZDB-GENE-000426-1	SO:0001217	fn1a	100005469
ZDB-GENE-000427-1	SO:0001217	rh50	791729
ZDB-GENE-000427-10	SO:0001217	spon1b	58029
ZDB-GENE-000427-2	SO:0001217	mbl2	100008009
ZDB-GENE-000427-3	SO:0001217	p2rx3a	58147
ZDB-GENE-000427-4	SO:0001217	valopa	58109
ZDB-GENE-000427-6	SO:0001217	her7	58132
ZDB-GENE-000427-7	SO:0001217	tbx20	57936
ZDB-GENE-000427-9	SO:0001217	spon1a	58027
ZDB-GENE-000501-1	SO:0001217	celf1	58137
ZDB-GENE-000501-2	SO:0001217	celf3a	57922
ZDB-GENE-000502-1	SO:0001217	bmpr1aa	58145
ZDB-GENE-000508-1	SO:0001217	dct	58074
ZDB-GENE-000509-1	SO:0001217	bmal1a	58098
ZDB-GENE-000509-2	SO:0001217	bmal2	58099
ZDB-GENE-000509-3	SO:0001217	smad3a	58092
ZDB-GENE-000510-1	SO:0001217	rhebl1	767781
ZDB-GENE-000511-1	SO:0001217	hand2	58150
ZDB-GENE-000511-2	SO:0001217	pycard	57923
ZDB-GENE-000511-3	SO:0001217	dap	58093
ZDB-GENE-000511-4	SO:0001217	dap1b	58094
ZDB-GENE-000511-6	SO:0001217	baxa	58081
ZDB-GENE-000511-7	SO:0001217	mcl1a	58122
ZDB-GENE-000511-8	SO:0001217	slc40a1	58153
ZDB-GENE-000516-1	SO:0001217	fbxw4	58035
ZDB-GENE-000517-1	SO:0001217	fgd	58075
ZDB-GENE-000523-2	SO:0001217	pou4f1	58057
ZDB-GENE-000524-1	SO:0001217	slc34a2a	58148
ZDB-GENE-000526-1	SO:0001217	hey2	58146
ZDB-GENE-000605-1	SO:0001217	runx1	58126
ZDB-GENE-000605-2	SO:0001217	runx3	58127
ZDB-GENE-000607-1	SO:0001217	pcdh18a	572532
ZDB-GENE-000607-13	SO:0001217	sox5	567413
ZDB-GENE-000607-14	SO:0001217	id:ibd2170	57950
ZDB-GENE-000607-16	SO:0001217	bcl7a	57952
