NCBI Gene ID	ZFIN ID	PValue	logFC
100000006	ZDB-GENE-030131-5654	0.792614954	0.115008592
100000009	ZDB-GENE-130530-778	0.607285063	-0.14471423
100000026	ZDB-GENE-120823-1	0.021338277	0.603870729
100000030	ZDB-GENE-070705-376	0.007879818	-2.083141327
100000044	ZDB-GENE-121214-60	0.015285652	0.803878624
100000073	ZDB-GENE-120215-73	0.004635741	2.158962031
100000079	ZDB-GENE-110718-2	0.436577715	-0.375593436
100000083		0.69319999	-0.140299548
100000085	ZDB-GENE-030131-1312	0.264762452	0.267360111
100000094	ZDB-GENE-030131-7637	0.957365679	0.065495637
100000095	ZDB-GENE-060720-30	0.001152653	-0.845505045
100000098	ZDB-GENE-131126-55	0.335683316	1.175998032
100000101	ZDB-GENE-050208-155	0.279947777	-0.281195473
100000104	ZDB-GENE-070410-116	0.554416675	0.463030832
100000119		0.004213538	-0.265323559
100000122		0.082192205	0.203166967
100000125	ZDB-GENE-060503-666	0.194151261	0.15428235
100000131	ZDB-GENE-050208-449	0.192664563	-0.343557507
100000132	ZDB-GENE-080220-30	0.775689889	-0.231643131
100000133	ZDB-GENE-091204-302	0.981373824	0.008343627
100000135	ZDB-GENE-081016-2	0.63669303	-0.148670621
100000140	ZDB-GENE-140820-4	0.768888245	0.154537822
100000148		0.689198423	0.185726863
100000151	ZDB-GENE-060503-443	0.337496148	0.567692251
100000155		0.427716368	0.524302403
100000156	ZDB-GENE-131119-33	0.000100861	1.960327259
100000160	ZDB-GENE-980526-488	0.029700433	-0.206347238
100000165		0.911278191	0.039991489
100000168	ZDB-GENE-141212-380	0.123373197	-0.441554842
100000190	ZDB-GENE-030131-8303	0.547834226	0.16634281
100000219	ZDB-GENE-030131-305	0.289507541	0.225430279
100000223	ZDB-GENE-060526-100	0.701809279	-0.257764392
100000230	ZDB-GENE-030131-9913	0.003927325	-0.371531267
100000241	ZDB-GENE-141219-10	0.006744003	-0.908418703
100000242	ZDB-GENE-040718-462	0.647048609	0.134725758
100000252	ZDB-GENE-040426-743	0.002817846	0.458088646
100000253	ZDB-GENE-160728-76	0.213690218	-1.121633204
100000275		0.891864003	0.21126863
100000277	ZDB-GENE-131121-626	0.006531928	1.624671368
100000285	ZDB-GENE-070424-138	0.923081062	0.038509789
100000303	ZDB-GENE-140106-69	0.429875029	0.105960746
100000319	ZDB-GENE-050522-217	0.250694968	-0.606504109
100000322	ZDB-GENE-040624-12	0.937788548	0.043979209
100000325	ZDB-GENE-070705-380	0.682393442	-0.118393968
100000326	ZDB-GENE-040724-141	0.142103468	-0.344781412
100000332	ZDB-GENE-160728-105	0.958750358	-0.0467731
100000333	ZDB-GENE-081104-153	0.338729298	-0.417273878
100000334		0.142597522	0.619354641
100000341	ZDB-GENE-080220-50	0.187958243	0.574474565
100000342	ZDB-GENE-081027-1	0.920237032	0.038322549
100000352		0.935827862	-0.096446101
100000353	ZDB-GENE-100609-5	0.093630497	0.310579338
100000365		0.029875281	-1.069168487
100000374		0.010185059	0.991722961
100000381	ZDB-GENE-080204-110	0.150469821	-0.727191275
100000387	ZDB-GENE-081105-91	0.688859491	0.22903517
100000389	ZDB-GENE-030131-8455	0.797664523	-0.071903776
100000398	ZDB-GENE-030131-5881	0.805719617	0.203483005
100000399	ZDB-GENE-010724-16	0.0019854	0.637605537
100000415	ZDB-GENE-110318-1	0.214151285	0.394062615
100000433	ZDB-GENE-141212-237	0.925967701	-0.044843485
100000470	ZDB-GENEP-160808-1	0.394219092	-0.47787735
100000471	ZDB-GENE-030131-6778	0.042660772	-0.339670215
100000478	ZDB-GENE-070410-54	0.224647294	-0.222938154
100000479	ZDB-GENE-040426-2939	0.744259173	-0.057315008
100000492	ZDB-GENE-010605-3	0.105582458	-0.239533966
100000500	ZDB-GENE-110411-139	0.312188421	0.334137712
100000501	ZDB-GENE-130603-30	0.879244673	-0.120819303
100000517	ZDB-GENE-070912-512	0.258058142	0.263224914
100000526	ZDB-GENE-120926-1	0.001550168	-0.462598325
100000527	ZDB-GENE-050208-498	0.834306406	-0.060899298
100000532	ZDB-GENE-061215-1	0.384954928	0.560280732
100000537	ZDB-GENE-041210-131	0.751873168	0.070270025
100000539	ZDB-GENE-060526-102	0.407678133	-0.231698561
100000544	ZDB-GENE-120508-5	0.204958368	0.511142431
100000545		0.668059181	-0.253025145
100000559	ZDB-GENE-030131-2286	0.506956234	0.189058136
100000570	ZDB-GENE-030131-5753	0.707403884	-0.189572433
100000576	ZDB-GENE-050506-58	0.210738217	-0.301895152
100000577	ZDB-GENE-030616-595	0.211510557	0.148784684
100000597	ZDB-GENE-030131-37	0.094782566	-0.281070338
100000615	ZDB-GENE-090601-1	0.039514008	0.619913991
100000629	ZDB-GENE-121214-301	0.343855373	0.303568367
100000633		0.649658106	0.561546979
100000637		0.311618547	0.31932021
100000640	ZDB-GENE-060825-323	0.647880126	-0.653754512
100000646		0.760008249	0.178411463
100000647	ZDB-GENE-060825-162	0.629161975	0.131141916
100000654	ZDB-GENE-030131-7797	0.328463151	-0.111511716
100000656	ZDB-GENE-090312-76	0.871293225	-0.116065075
100000660	ZDB-GENE-070615-16	0.462428217	-0.128872783
100000665	ZDB-GENE-111207-3	0.858233297	-0.080053958
100000683	ZDB-GENE-131119-50	0.701096163	-0.226235629
100000685	ZDB-GENE-091012-1	0.978239495	0.025380409
100000686		0.283395669	0.73530591
100000687	ZDB-GENE-060717-1	0.135515009	0.397967079
