Concept Type	Concept ID	Concept Name	# Genes in Concept in Universe	# Sig Genes Belong to Concept	Proportion of Genes	Coeff	P-value	FDR	Odds Ratio	Enriched
KEGG pathway	dreM04550	Signaling pathways regulating pluripotency of stem cells	155	47	0.3032258064516129	0.25505968988140554	4.961454400508283e-07	4.961454400508283e-07	1.2905386506729253	enriched
KEGG pathway	dreM05225	Hepatocellular carcinoma	173	56	0.3236994219653179	0.23608823458387834	2.403849377400612e-06	2.403849377400612e-06	1.2662860354591998	enriched
KEGG pathway	dreM04961	Endocrine and other factor-regulated calcium reabsorption	64	18	0.28125	0.3142334329095953	2.836166237171889e-06	2.836166237171889e-06	1.369209317760428	enriched
KEGG pathway	dreM00030	Pentose phosphate pathway	28	14	0.5	0.3790574149160592	5.71819876620368e-06	5.71819876620368e-06	1.460906911183234	enriched
KEGG pathway	dreM04659	Th17 cell differentiation	93	29	0.3118279569892473	0.27513204538737823	8.003806017494931e-06	8.003806017494931e-06	1.3167045281485892	enriched
KEGG pathway	dreM04960	Aldosterone-regulated sodium reabsorption	45	15	0.3333333333333333	0.3348655071286454	8.270711134367984e-06	8.270711134367984e-06	1.3977523848487143	enriched
KEGG pathway	dreM04919	Thyroid hormone signaling pathway	151	45	0.2980132450331126	0.235875556809648	9.856084783505125e-06	9.856084783505125e-06	1.26601675319983	enriched
KEGG pathway	dreM04152	AMPK signaling pathway	142	43	0.3028169014084507	0.2397936830345376	1.076957716795843e-05	1.076957716795843e-05	1.2709868971089375	enriched
KEGG pathway	dreM05206	MicroRNAs in cancer	193	53	0.27461139896373055	0.20752429211726786	3.6871526071340834e-05	3.6871526071340834e-05	1.2306276110272345	enriched
KEGG pathway	dreM04360	Axon guidance	223	65	0.2914798206278027	0.19337785743650632	6.163011691412262e-05	6.163011691412262e-05	1.2133411768985918	enriched
KEGG pathway	dreM05211	Renal cell carcinoma	86	26	0.3023255813953488	0.2617333389288703	7.014446136058103e-05	7.014446136058103e-05	1.2991800554889585	enriched
KEGG pathway	dreM04066	HIF-1 signaling pathway	115	35	0.30434782608695654	0.23563592066934552	0.00010379816365865995	0.00010379816365865995	1.2657134061794413	enriched
KEGG pathway	dreM00190	Oxidative phosphorylation	105	6	0.05714285714285714	-0.7940071974665381	0.0001162247854816778	0.0001162247854816778	0.452029788542429	depleted
KEGG pathway	dreM04722	Neurotrophin signaling pathway	139	37	0.26618705035971224	0.2188166091078435	0.0001397387013849296	0.0001397387013849296	1.2446030069010547	enriched
KEGG pathway	dreM04151	PI3K-Akt signaling pathway	368	85	0.23097826086956522	0.14882404317421533	0.0003116526366750942	0.0003116526366750942	1.1604687788407613	enriched
KEGG pathway	dreM04141	Protein processing in endoplasmic reticulum	169	50	0.2958579881656805	0.19646473621572258	0.0003322295966123427	0.0003322295966123427	1.217092400837568	enriched
KEGG pathway	dreM04213	Longevity regulating pathway - multiple species	63	22	0.3492063492063492	0.2679183742884213	0.0003697722057068983	0.0003697722057068983	1.3072404312295014	enriched
KEGG pathway	dreM04010	MAPK signaling pathway	331	85	0.256797583081571	0.1530265295271556	0.0003829524698665235	0.0003829524698665235	1.1653558948735026	enriched
KEGG pathway	dreM04512	ECM-receptor interaction	91	30	0.32967032967032966	0.238853568436504	0.0003947412075319392	0.0003947412075319392	1.2697925852560223	enriched
KEGG pathway	dreM04930	Type II diabetes mellitus	52	18	0.34615384615384615	0.28148313793493884	0.0004225984374065407	0.0004225984374065407	1.3250936523177617	enriched
