ZFIN ID	Human NCBI Gene ID
ZDB-GENE-000112-47	5467
ZDB-GENE-000125-12	3485
ZDB-GENE-000125-4	10683
ZDB-GENE-000128-11	120237
ZDB-GENE-000128-13	440097
ZDB-GENE-000128-8	120237
ZDB-GENE-000201-13	3730
ZDB-GENE-000201-18	80714
ZDB-GENE-000201-9	3730
ZDB-GENE-000208-17	125972
ZDB-GENE-000208-18	7389
ZDB-GENE-000208-20	83881
ZDB-GENE-000208-21	3833
ZDB-GENE-000208-23	1302
ZDB-GENE-000208-25	655
ZDB-GENE-000208-28	10850
ZDB-GENE-000208-4	7545
ZDB-GENE-000208-8	26958
ZDB-GENE-000209-3	6091
ZDB-GENE-000209-4	64221
ZDB-GENE-000210-10	8460
ZDB-GENE-000210-13	342897
ZDB-GENE-000210-15	7832
ZDB-GENE-000210-17	1994
ZDB-GENE-000210-19	5950
ZDB-GENE-000210-20	847
ZDB-GENE-000210-21	3624
ZDB-GENE-000210-23	4212
ZDB-GENE-000210-25	10657
ZDB-GENE-000210-31	7421
ZDB-GENE-000210-32	4831
ZDB-GENE-000210-33	4831
ZDB-GENE-000210-34	4832
ZDB-GENE-000210-35	29922
ZDB-GENE-000210-6	7291
ZDB-GENE-000210-8	5111
ZDB-GENE-000223-14	401
ZDB-GENE-000308-1	10643
ZDB-GENE-000322-1	70
ZDB-GENE-000322-2	7125
ZDB-GENE-000322-3	7140
ZDB-GENE-000322-4	5816
ZDB-GENE-000322-5	4620
ZDB-GENE-000323-1	10716
ZDB-GENE-000328-3	8325
ZDB-GENE-000328-4	8325
ZDB-GENE-000328-5	3225
ZDB-GENE-000329-1	60
ZDB-GENE-000329-17	3228
ZDB-GENE-000329-2	3217
ZDB-GENE-000329-3	60
ZDB-GENE-000329-4	4853
ZDB-GENE-000329-5	4854
ZDB-GENE-000329-9	89
ZDB-GENE-000330-2	26133
ZDB-GENE-000330-3	26133
ZDB-GENE-000330-4	112755
ZDB-GENE-000330-5	994
ZDB-GENE-000330-8	8161
ZDB-GENE-000330-9	5664
ZDB-GENE-000403-1	8312
ZDB-GENE-000403-2	8313
ZDB-GENE-000405-1	5087
ZDB-GENE-000405-3	5090
ZDB-GENE-000405-5	5089
ZDB-GENE-000405-6	1618
ZDB-GENE-000406-10	891
ZDB-GENE-000406-5	51226
ZDB-GENE-000406-6	22818
ZDB-GENE-000406-8	145873
ZDB-GENE-000406-9	55897
ZDB-GENE-000412-1	627
ZDB-GENE-000426-1	2335
ZDB-GENE-000427-2	4153
ZDB-GENE-000427-3	5024
ZDB-GENE-000427-7	57057
ZDB-GENE-000427-9	10418
ZDB-GENE-000501-1	10658
ZDB-GENE-000501-2	11189
ZDB-GENE-000502-1	657
ZDB-GENE-000508-1	1638
ZDB-GENE-000509-1	406
ZDB-GENE-000509-2	56938
ZDB-GENE-000509-3	4088
ZDB-GENE-000511-1	9464
ZDB-GENE-000511-2	29108
ZDB-GENE-000511-3	1611
ZDB-GENE-000511-5	8717
ZDB-GENE-000511-6	581
ZDB-GENE-000511-7	4170
ZDB-GENE-000511-8	30061
ZDB-GENE-000516-1	6468
ZDB-GENE-000523-2	5457
ZDB-GENE-000524-1	10568
ZDB-GENE-000526-1	23493
ZDB-GENE-000605-1	861
ZDB-GENE-000605-2	864
ZDB-GENE-000607-1	54510
ZDB-GENE-000607-13	6660
ZDB-GENE-000607-16	605
ZDB-GENE-000607-21	9057
ZDB-GENE-000607-49	23266
ZDB-GENE-000607-52	23522
ZDB-GENE-000607-58	219902
ZDB-GENE-000607-65	51466
ZDB-GENE-000607-70	23462
ZDB-GENE-000607-75	26155
ZDB-GENE-000607-77	56243
ZDB-GENE-000607-78	3052
ZDB-GENE-000607-82	11060
ZDB-GENE-000616-1	572
ZDB-GENE-000616-11	8859
ZDB-GENE-000616-13	351
ZDB-GENE-000616-14	2618
ZDB-GENE-000616-15	8928
ZDB-GENE-000616-16	3297
