NCBI Gene ID	Human NCBI Gene ID	PValue	logFC
100000006	84561	0.792614954	0.115008592
100000044		0.015285652	0.803878624
100000085	968	0.264762452	0.267360111
100000101		0.279947777	-0.281195473
100000125		0.194151261	0.15428235
100000135	55198	0.63669303	-0.148670621
100000155		0.427716368	0.524302403
100000168		0.123373197	-0.441554842
100000230		0.003927325	-0.371531267
100000253		0.213690218	-1.121633204
100000303	84898	0.429875029	0.105960746
100000326	51184	0.142103468	-0.344781412
100000341	6228	0.187958243	0.574474565
100000365		0.029875281	-1.069168487
100000389		0.797664523	-0.071903776
100000433		0.925967701	-0.044843485
100000479	7326	0.744259173	-0.057315008
100000517	3096	0.258058142	0.263224914
100000537	11108	0.751873168	0.070270025
100000559	79001	0.506956234	0.189058136
100000597	989	0.094782566	-0.281070338
100000637		0.311618547	0.31932021
100000654	54480	0.328463151	-0.111511716
100000683		0.701096163	-0.226235629
100000688	5067	0.026382149	0.868811918
100000711	58157	0.61965968	0.144590811
100000724		0.672583476	0.212838455
100000753	84332	0.925149297	-0.073203225
100000775	2752	0.179222655	-0.303117316
100000800	57156	0.198043371	-0.352299554
100000832		0.588047436	-0.190310505
100000855	65990	0.403356475	0.305845787
100000884	389610	0.579839992	0.108168187
100000923		0.886978005	0.067668514
100000948	285521	0.125292985	-0.355838616
100000981		0.45013121	0.300769897
100001019		0.87736154	-0.105054743
100001080		1.0	-1.002506228
100001114		0.040165457	0.460128502
100001136		0.121024466	-0.373818785
100001168	57608	5.85e-05	0.679542417
100001188	253832	0.172183128	0.147798749
100001221	8936	0.527541158	-0.164428244
100001241	79933	0.306128471	-0.152888342
100001260	5506	0.017629397	-0.411971431
100001293	7756	0.007152331	0.474587467
100001316	9527	0.16950342	-1.966461026
100001344		0.480539446	-0.613829729
100001372	81543	0.79781229	0.139579278
100001417	84085	0.542868983	-0.187366538
100001425	2067	0.62679411	0.119137745
100001485	8269	0.053147267	0.528549209
100001520		0.596569206	-0.282179776
100001537	9046	1.0	0.601133753
100001584	203054	0.986395005	-0.003762251
100001623		0.060253147	0.808506973
100001648	147007	0.882180455	0.061138038
100001676		0.665494482	0.13193908
100001699	343472	0.420610323	0.330832859
100001748	22846	0.124930152	-0.275788891
100001785		0.19334809	0.454206193
100001828	3350	0.719748301	0.127692998
100001845	79008	0.009156231	0.744929404
100001879	58525	1.7e-05	1.686514187
100001903		0.7986136	0.090917101
100001914	51619	0.003188053	1.649875701
100001940	205147	0.103702891	0.571199968
100001991		0.58902945	-0.357207666
100002014		0.314893087	0.361338443
100002034	25831	0.080449125	-0.215502406
100002045	54972	0.444862922	-0.390234032
100002071		0.541078749	-0.40012208
100002104		0.874674664	-0.145699518
100002134		0.905800215	-0.046742695
100002173		0.871197006	-0.129546115
100002190	9265	0.016531241	-0.520452981
100002200	8538	0.774899995	-0.11918542
100002225	5605	0.002524053	0.714441929
100002236	25798	0.887992967	-0.026037624
100002263	5291	0.050647157	0.250977707
100002270		0.923896839	0.095475579
100002293	2021	0.982973186	0.010128643
100002312		0.936298029	-0.110924606
100002334		0.567722779	0.335745503
100002366	2548	0.461458905	-0.24253018
100002391	4867	0.001504381	-0.749948977
100002406		0.854254256	0.150987647
100002445	137970	0.050229778	0.64032717
100002460	644070	0.756745718	-0.09675755
100002496	653567	0.629001526	0.533792047
100002528	79833	0.942604316	-0.026715589
100002543		0.003965895	0.502800533
100002591		0.325821265	-0.726003791
100002625	9472	0.001204208	-0.389787384
100002649		0.018336944	1.592996627
100002679		0.650540245	0.079477371
100002715	84634	0.839110485	0.08124281
100002737		0.429294953	-0.176208185
100002785		0.065595836	0.537826252
100002802	5522	0.989266218	0.004333583
100002821		0.350562558	1.12287976
100002866		1.0	0.755345404
100002878	286336	0.044366837	0.924335751
100002907		0.014864579	1.767391722
100002923		0.766756274	0.283558493
100002946	3576	0.203054182	0.831610662
100002967		0.60645226	0.2479261
100003020	441027	0.308632288	0.362938527
100003031		0.228721821	1.458554834
100003066	56901	0.696934466	0.224398615
100003100	100130827	4.31e-08	-1.38768174
100003132		0.607835094	-0.316452349
100003142		0.414103946	-0.177043136
100003182		0.294887972	0.193291635
100003220	59285	0.044574387	0.771168647
100003245	375607	0.00076464	1.152459192
100003277	143879	0.41052404	-0.260403946
100003313	84298	0.982023125	-0.008961686
100003333	4034	0.830016914	0.030117489
100003353	9878	0.894299898	0.030116837
100003383	10654	0.695087931	0.125629326
100003412	23313	0.79672914	0.104054723
100003436		0.057127344	0.34340841
100003476	150864	0.920651504	0.044508288
100003514	5582	0.095090537	0.537864586
100003534		0.388815789	-0.475239163
100003546	23127	0.00218114	-0.617355131
100003562	11319	0.525068944	-0.201258149
100003583		0.844374531	-0.076244807
100003595		0.164127637	-0.52644505
100003642		4.19e-05	1.848374319
100003661	51156	0.354377209	-0.363791648
100003670	51734	0.08892492	0.512976011
100003679	9817	0.16773003	-0.227964174
100003699	28990	0.311782075	0.266798182
100003721	54906	0.487097275	0.135749811
100003744		0.780901978	0.05487938
100003763		0.159779653	-0.32856529
100003787	55651	0.869163527	0.071514758
100003805		0.003416237	-0.979560132
100003846	64320	0.8132436	-0.121858969
100003852	4887	0.337045792	-0.906608201
100003877	4040	0.000428616	-0.707190104
100003902		0.207395256	-0.30129874
100003913		0.142373773	-0.382527711
100003937	81792	0.836809132	-0.075451173
100003956	1407	0.462939226	0.206960056
100003975	79842	0.545089774	0.127682969
100004011		0.889270679	0.211370423
100004030	134353	0.205224385	-0.65771644
100004076		0.025792889	-0.857006622
100004095		0.719855881	0.533494453
100004136	81490	0.922512023	-0.024644309
100004160		0.000171072	3.707447905
100004175	1028	0.698941426	0.164678983
100004186		0.268460231	0.743251039
100004228	11001	0.871952157	0.045695149
100004261	9020	0.210954279	-0.273733892
100004296	6862	0.065219329	-0.710459816
100004321		0.243510101	0.75257266
100004357	192683	0.032632968	-0.832912784
100004395		0.0373902	3.606614108
100004411		0.213940128	-0.692283427
100004431		0.000614529	1.689309566
100004455	2056	0.916848174	-0.062171256
100004462	147138	0.50881463	-0.295973791
100004513		0.068284847	-1.280746262
100004536	10559	0.178245236	-0.316916521
100004566	537	0.396906766	-0.116071081
100004590	390595	0.618479102	0.167371893
100004610	10248	0.745647896	-0.15265333
100004621		0.145377361	0.20609657
100004656	130951	0.699715418	0.429586821
100004674	146310	0.159539704	0.529717595
100004703		0.335870037	-0.193730639
100004736		0.669903058	-0.44931161
100004770	387893	0.003154482	-0.509633713
100004847	6097	0.930853973	-0.067748681
100004874	91574	0.578838172	0.276882791
100004913	84457	0.388815789	0.241696942
100004938		1.0	-0.477747468
100004946	54795	0.950789669	-0.014933582
100004969	55194	0.174398482	-0.34393514
100005000	89796	8.3e-06	1.887925116
100005026	83547	0.024671348	0.443361396
100005036	84926	0.873639497	0.060592904
100005065	8676	0.560780263	-0.601827467
100005083		0.002556779	0.841146998
100005106	144100	0.171174498	0.318205709
100005116	83478	0.212184633	0.21125645
100005148		0.461821793	-0.309604341
100005189	4605	0.277516784	-0.160497384
100005214		0.120182531	-0.283681337
100005267		0.035746063	-0.346457435
100005295		0.781235998	-0.219339933
100005308		0.668059181	-0.551157274
100005359		0.355142823	0.607819416
100005375		0.441398128	0.692257904
100005403	157378	0.262970755	-0.256254477
100005455	254013	0.805296124	0.110322962
100005471	84445	0.710703434	0.233174258
100005496		0.079055767	0.399021117
100005518	23024	0.183923658	0.347733589
100005538	285220	0.802945926	-0.098507806
100005564	54621	0.943674585	0.072300281
100005569		0.354377209	0.240164591
100005593	101	0.257705875	0.433022637
100005623	83862	0.481315465	0.144621842
100005670	79148	0.147463146	-0.29945863
100005700	6786	0.660756238	0.122234331
100005717	1376	0.77290598	0.085636371
100005732	53349	0.241574335	0.157355037
100005754		0.756180144	-0.351303269
100005797	92745	0.557889053	0.152744266
100005846		0.201307268	-0.249726234
100005882		0.39106428	0.47871046
100005893	4116	0.41823233	0.348206979
100005923		0.994462198	-0.003775111
100005939	283377	0.901894212	-0.056258802
100005958		0.178672212	0.294547071
100005974		0.553722367	0.327783211
100006005	92714	0.786520799	-0.067699246
100006039	57592	0.023367548	-0.355990444
100006053		0.769164774	0.340716743
100006088	55084	0.051323679	0.254503709
100006147	8065	0.981373824	-0.017657545
100006181		0.276527661	-0.631003661
100006212	5994	0.97692402	0.007714424
100006249	9435	0.652933924	-0.148110836
100006263		0.043296241	0.947183539
100006303	27165	0.723215905	-0.16418259
100006331		0.939052437	0.126250931
100006345	2218	0.71737883	-0.121699482
100006371	441151	0.514534898	0.185452775
100006399	60529	0.887656974	0.030616566
100006442	283600	0.005894848	-0.903967532
100006460	1944	0.425220132	0.233768168
100006496		0.594641164	0.137015794
100006557		0.684493617	0.504800987
100006589	3417	0.214481841	-0.444686312
100006612	4649	0.720281509	-0.075790538
100006622		0.777732095	-0.045548995
100006649		0.604229787	-0.474495837
100006662		0.032651877	0.281220403
100006681	221806	0.017065065	-0.543768989
100006754		0.187491954	0.235285784
100006777		0.814920532	-0.073029087
100006791		0.029996058	-0.800423431
100006839		0.265986534	-1.406193958
100006880		0.69651548	0.26110292
100006896	4322	0.980061548	-0.041581341
100006952		0.930075669	0.054011928
