ZFIN ID	Symbol	NCBI Gene ID	Ensembl ID
ZDB-BR-071004-117	br.line.zfl2-1	100126124	
ZDB-GENE-000112-47	ppardb	30754	ENSDARG00000009473
ZDB-GENE-000125-12	igfbp2a	794176	ENSDARG00000052470
ZDB-GENE-000125-4	dlc	30120	ENSDARG00000002336
ZDB-GENE-000128-11	dbx1b	30416	ENSDARG00000001859
ZDB-GENE-000128-13	dbx2	30417	
ZDB-GENE-000128-8	dbx1a	30394	ENSDARG00000086393
ZDB-GENE-000201-13	anos1b	30652	ENSDARG00000004932
ZDB-GENE-000201-18	pbx4	30728	ENSDARG00000052150
ZDB-GENE-000201-9	anos1a	30630	ENSDARG00000012896
ZDB-GENE-000208-13	crestin	30186	ENSDARG00000105570
ZDB-GENE-000208-17	calr3a	30248	ENSDARG00000103979
ZDB-GENE-000208-18	urod	30617	ENSDARG00000006818
ZDB-GENE-000208-20	mixl1	30115	ENSDARG00000069252
ZDB-GENE-000208-21	kifc1	30453	ENSDARG00000001558
ZDB-GENE-000208-23	col11a2	561679	ENSDARG00000012422
ZDB-GENE-000208-25	bmp7a	30584	ENSDARG00000018260
ZDB-GENE-000208-28	ccl27a	30268	ENSDARG00000058570
ZDB-GENE-000208-4	zic1	30096	ENSDARG00000015567
ZDB-GENE-000208-8	copg2	30187	ENSDARG00000034823
ZDB-GENE-000208-9	cmn	30208	ENSDARG00000055527
ZDB-GENE-000209-3	robo1	30769	ENSDARG00000026784
ZDB-GENE-000209-4	robo3	30770	ENSDARG00000005645
ZDB-GENE-000210-10	tpst1	30677	ENSDARG00000073872
ZDB-GENE-000210-13	nccrp1	30078	ENSDARG00000035326
ZDB-GENE-000210-15	btg2	30079	ENSDARG00000020298
ZDB-GENE-000210-17	elavl1b	30065	ENSDARG00000101744
ZDB-GENE-000210-19	rbp4	30077	ENSDARG00000101199
ZDB-GENE-000210-20	cat	30068	ENSDARG00000104702
ZDB-GENE-000210-21	inhbaa	30072	ENSDARG00000012671
ZDB-GENE-000210-23	meis2b	30066	ENSDARG00000077840
ZDB-GENE-000210-25	khdrbs1a	30082	ENSDARG00000052856
ZDB-GENE-000210-28	chico	30067	ENSDARG00000019588
ZDB-GENE-000210-31	vdra	30076	ENSDARG00000099483
ZDB-GENE-000210-32	nme2b.1	30083	ENSDARG00000103791
ZDB-GENE-000210-33	nme2b.2	30084	ENSDARG00000099420
ZDB-GENE-000210-34	nme3	30085	ENSDARG00000100990
ZDB-GENE-000210-35	nme7	30086	ENSDARG00000056193
ZDB-GENE-000210-6	twist1a	30175	ENSDARG00000030402
ZDB-GENE-000210-7	twist3	30176	ENSDARG00000019646
ZDB-GENE-000210-8	pcna	30678	ENSDARG00000054155
ZDB-GENE-000223-14	phox2a	404602	ENSDARG00000007406
ZDB-GENE-000308-1	igf2bp3	30967	ENSDARG00000010266
ZDB-GENE-000322-1	actc1b	58114	ENSDARG00000099197
ZDB-GENE-000322-2	tnnc2.2	58082	ENSDARG00000070835
ZDB-GENE-000322-3	tnnt3a	58084	ENSDARG00000030270
ZDB-GENE-000322-4	pvalb2	58028	ENSDARG00000002768
ZDB-GENE-000322-5	myhz1.1	58142	ENSDARG00000067990
ZDB-GENE-000322-6	mylz3	58143	ENSDARG00000017441
ZDB-GENE-000323-1	tbr1b	58042	ENSDARG00000004712
ZDB-GENE-000328-2	hoxb10a	58056	ENSDARG00000011579
ZDB-GENE-000328-3	fzd8a	58073	ENSDARG00000045444
ZDB-GENE-000328-4	fzd8b	58072	ENSDARG00000038569
ZDB-GENE-000328-5	hoxc9a	58043	ENSDARG00000092809
ZDB-GENE-000329-1	actb1	57934	ENSDARG00000037746
ZDB-GENE-000329-10	or42c2	58103	ENSDARG00000091216
ZDB-GENE-000329-12	or30bt4	58121	ENSDARG00000003090
ZDB-GENE-000329-13	or30bt1	58111	ENSDARG00000094080
ZDB-GENE-000329-14	or42c1	58115	ENSDARG00000091791
ZDB-GENE-000329-15	or42c4	58104	ENSDARG00000088453
